row_key,record_type,organisation_seed_source_key,canonical_organisation_name,organisation_status,alias_name,alias_type,evidence_key,evidence_type,evidence_source_url,evidence_supporting_fact,platform,account_url,tenant_slug,platform_identifier,platform_account_confidence,event_slug,relationship,event_link_confidence,evidence_keys,proposed_review_note
r001,organisation,manual:go-beyond-events,Go Beyond Events,candidate,,,,,,,,,,,,,,,,
r002,organisation,manual:zig-zag-running,Zig Zag Running,candidate,,,,,,,,,,,,,,,,
r003,organisation,manual:race-harborough,Race Harborough Ltd.,candidate,,,,,,,,,,,,,,,,
r004,organisation,manual:heart-and-soul-racing,Heart and Soul Racing Limited,candidate,,,,,,,,,,,,,,,,
r005,organisation,manual:stroud-and-district-ac,Stroud & District Athletic Club,candidate,,,,,,,,,,,,,,,,
r006,organisation,manual:channel-uk-events,Channel UK Events CIC,candidate,,,,,,,,,,,,,,,,
r007,organisation,manual:running-adventures,Running Adventures,candidate,,,,,,,,,,,,,,,,
r008,organisation,manual:uk-training-club,UK Training Club,candidate,,,,,,,,,,,,,,,,
r009,alias,manual:go-beyond-events,Go Beyond Events,,Go Beyond Challenge,trading_name,,,,,,,,,,,,,,
r010,alias,manual:race-harborough,Race Harborough Ltd.,,Race Harborough,trading_name,,,,,,,,,,,,,,
r011,alias,manual:heart-and-soul-racing,Heart and Soul Racing Limited,,Heart & Soul Racing,source_label,,,,,,,,,,,,,,
r012,alias,manual:channel-uk-events,Channel UK Events CIC,,Channel Events,source_label,,,,,,,,,,,,,,
r013,alias,manual:uk-training-club,UK Training Club,,UKTC,source_label,,,,,,,,,,,,,,
r014,evidence,manual:go-beyond-events,Go Beyond Events,,,,ev-gb-01,official_direct_link,https://www.gobeyondchallenge.com/e/the-amazing-northampton-run-11893,Historical 2025 Go Beyond event page for the Amazing Northampton Run; retained as first-party recurring-event evidence identifying the Amazing Northampton Run relationship.,,,,,,,,,,
r015,evidence,manual:go-beyond-events,Go Beyond Events,,,,ev-gb-02,platform_profile,https://www.eventrac.co.uk/e/the-amazing-northampton-run-14129,"Eventrac event URL was observed on a DUPLICATE RENM row; retain as external platform evidence only. It does not reactivate, merge or alter that duplicate row.",,,,,,,,,,
r016,evidence,manual:go-beyond-events,Go Beyond Events,,,,ev-gb-03,official_direct_link,https://www.gobeyondchallenge.com/e/thames-trail-ultra-11932,First-party Go Beyond event page identifies Thames Trail Ultra.,,,,,,,,,,
r017,evidence,manual:go-beyond-events,Go Beyond Events,,,,ev-gb-04,official_terms,https://bookitzone.com/GoBeyondSport/DrjFFX,Booking terms attribute sole organisation to Go Beyond Challenge.,,,,,,,,,,
r018,evidence,manual:go-beyond-events,Go Beyond Events,,,,ev-gb-05,platform_profile,https://www.eventrac.co.uk/e/thames-trail-ultra-11932,"Eventrac event URL was observed on a DUPLICATE RENM row; retain as external platform evidence only. It does not reactivate, merge or alter that duplicate row.",,,,,,,,,,
r019,evidence,manual:go-beyond-events,Go Beyond Events,,,,ev-gb-06,platform_profile,https://www.eventrac.co.uk/o/go-beyond-events-969,Public Eventrac Go Beyond Events organiser profile (tenant_id_969) links to gobeyondchallenge.com and lists Thames Trail Ultra.,,,,,,,,,,
r020,evidence,manual:go-beyond-events,Go Beyond Events,,,,ev-gb-07,manual_observation,https://www.theamazingnorthamptonrun.co.uk/e/the-amazing-northampton-run-14129,Amazing Northampton Run white-label Eventrac asset (tenant_id_1165) observed on custom domain; differs from Go Beyond organiser-profile identifier (tenant_id_969). No tenant normalisation or automatic merge.,,,,,,,,,,
r021,evidence,manual:zig-zag-running,Zig Zag Running,,,,ev-zz-01,platform_profile,https://zigzagrunning.eventrac.co.uk/,Public Eventrac tenant page for Zig Zag Running.,,,,,,,,,,
r022,evidence,manual:zig-zag-running,Zig Zag Running,,,,ev-zz-02,official_direct_link,https://www.zigzagrunning.co.uk/,Official website directly links to exact Eventrac tenant event pages.,,,,,,,,,,
r023,evidence,manual:race-harborough,Race Harborough Ltd.,,,,ev-rh-01,platform_profile,https://raceharborough.eventrac.co.uk/,Public Eventrac tenant page for raceharborough.,,,,,,,,,,
r024,evidence,manual:race-harborough,Race Harborough Ltd.,,,,ev-rh-02,official_terms,https://raceharborough.co.uk/,Official website links to the raceharborough Eventrac shop; terms identify Race Harborough Ltd.,,,,,,,,,,
r025,evidence,manual:heart-and-soul-racing,Heart and Soul Racing Limited,,,,ev-hs-01,platform_profile,https://heartsoulracinglimited.eventrac.co.uk/,Public Eventrac tenant page for heartsoulracinglimited.,,,,,,,,,,
r026,evidence,manual:heart-and-soul-racing,Heart and Soul Racing Limited,,,,ev-hs-02,official_terms,https://www.heartandsoulracing.com/pages/register,Official registration terms explicitly include Eventrac as an approved entry platform.,,,,,,,,,,
r027,evidence,manual:stroud-and-district-ac,Stroud & District Athletic Club,,,,ev-st-01,platform_profile,https://stroudac.eventrac.co.uk/,Public Eventrac tenant page for stroudac.,,,,,,,,,,
r028,evidence,manual:stroud-and-district-ac,Stroud & District Athletic Club,,,,ev-st-02,official_direct_link,https://stroudac.co.uk/events,Official events page states entries moved to Eventrac and links to the tenant.,,,,,,,,,,
r029,evidence,manual:channel-uk-events,Channel UK Events CIC,,,,ev-ch-01,platform_profile,https://channelevents.eventrac.co.uk/,Public Eventrac tenant page for channelevents.,,,,,,,,,,
r030,evidence,manual:channel-uk-events,Channel UK Events CIC,,,,ev-ch-02,official_direct_link,https://www.channelevents.co.uk/,Exact legal entity appears on the Eventrac tenant and official website.,,,,,,,,,,
r031,evidence,manual:running-adventures,Running Adventures,,,,ev-ra-01,platform_profile,https://www.eventrac.co.uk/o/running-adventures-273,Public Eventrac organiser profile for Running Adventures.,,,,,,,,,,
r032,evidence,manual:running-adventures,Running Adventures,,,,ev-ra-02,matching_event_set,https://www.runningadventures.uk/,"Exact brand and multiple matching event names observed, but no direct first-party tenant bridge found.",,,,,,,,,,
r033,evidence,manual:uk-training-club,UK Training Club,,,,ev-uk-01,platform_profile,https://uktrainingclub.eventrac.co.uk/,Public Eventrac tenant page for uktrainingclub.,,,,,,,,,,
r034,evidence,manual:uk-training-club,UK Training Club,,,,ev-uk-02,matching_event_set,https://www.uktrainingclub.co.uk/,"Exact brand and matching flagship event observed, but no direct first-party tenant bridge found.",,,,,,,,,,
r035,platform_account,manual:go-beyond-events,Go Beyond Events,,,,,,,,eventrac,https://www.eventrac.co.uk/o/go-beyond-events-969,,tenant_id_969,verified,,,,ev-gb-06,
r036,platform_account,manual:go-beyond-events,Go Beyond Events,,,,,,,,eventrac,https://www.theamazingnorthamptonrun.co.uk/e/the-amazing-northampton-run-14129,,tenant_id_1165,plausible_needs_review,,,,ev-gb-07,GO-BEYOND-TENANT-DIVERGENCE: Amazing Northampton Run's observed white-label Eventrac tenant/asset identifier (tenant_id_1165) differs from the Go Beyond Eventrac organiser-profile identifier (tenant_id_969). Retain both as evidence only; do not normalise or treat either tenant as a canonical organiser key.
r037,platform_account,manual:zig-zag-running,Zig Zag Running,,,,,,,,eventrac,https://zigzagrunning.eventrac.co.uk/,zigzagrunning,,verified,,,,ev-zz-01|ev-zz-02,
r038,platform_account,manual:race-harborough,Race Harborough Ltd.,,,,,,,,eventrac,https://raceharborough.eventrac.co.uk/,raceharborough,,verified,,,,ev-rh-01|ev-rh-02,
r039,platform_account,manual:heart-and-soul-racing,Heart and Soul Racing Limited,,,,,,,,eventrac,https://heartsoulracinglimited.eventrac.co.uk/,heartsoulracinglimited,,verified,,,,ev-hs-01|ev-hs-02,
r040,platform_account,manual:stroud-and-district-ac,Stroud & District Athletic Club,,,,,,,,eventrac,https://stroudac.eventrac.co.uk/,stroudac,,verified,,,,ev-st-01|ev-st-02,
r041,platform_account,manual:channel-uk-events,Channel UK Events CIC,,,,,,,,eventrac,https://channelevents.eventrac.co.uk/,channelevents,,verified,,,,ev-ch-01|ev-ch-02,
r042,platform_account,manual:running-adventures,Running Adventures,,,,,,,,eventrac,https://www.eventrac.co.uk/o/running-adventures-273,running-adventures,,plausible_needs_review,,,,ev-ra-01|ev-ra-02,
r043,platform_account,manual:uk-training-club,UK Training Club,,,,,,,,eventrac,https://uktrainingclub.eventrac.co.uk/,uktrainingclub,,plausible_needs_review,,,,ev-uk-01|ev-uk-02,
r044,event_link,manual:go-beyond-events,Go Beyond Events,,,,,,,,,,,,,the-amazing-northampton-run,organises,verified,ev-gb-01|ev-gb-02,GO-BEYOND-TENANT-DIVERGENCE: Amazing Northampton Run's observed white-label Eventrac tenant/asset identifier (tenant_id_1165) differs from the Go Beyond Eventrac organiser-profile identifier (tenant_id_969). Retain both as evidence only; do not normalise or treat either tenant as a canonical organiser key.
r045,event_link,manual:go-beyond-events,Go Beyond Events,,,,,,,,,,,,,thames-trail-ultra-tbc-2026,organises,verified,ev-gb-03|ev-gb-04|ev-gb-05,"DUPLICATE-ROW-CAVEAT: Eventrac evidence is retained as external supporting evidence for the ACTIVE Thames Trail Ultra proposal only. No duplicate event row is linked, reactivated, merged or otherwise modified."
